"mpg","cyl","disp","hp","drat","wt","qsec","vs","am","gear","carb","productName"
21,6,160,110,3.9,2.62,16.46,0,1,4,4,"A"
21,6,160,110,3.9,2.875,17.02,0,1,4,4,"B"
22.8,4,108,93,3.85,2.32,18.61,1,1,4,1,"B"
14.3,8,360,245,3.21,3.57,15.84,0,0,3,4,"D"
24.4,4,146.7,62,3.69,3.19,20,1,0,4,2,"D"
22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2,"D"
19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4,"D"
15.5,8,318,150,2.76,3.52,16.87,0,0,3,2,"G"
15.2,8,304,150,3.15,3.435,17.3,0,0,3,2,"G"
13.3,8,350,245,3.73,3.84,15.41,0,0,3,4,"G"
19.2,8,400,175,3.08,3.845,17.05,0,0,3,2,"G"
27.3,4,79,66,4.08,1.935,18.9,1,1,4,1,"G"
26,4,120.3,91,4.43,2.14,16.7,0,1,5,2,"G"
30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2,"G"
15.8,8,351,264,4.22,3.17,14.5,0,1,5,4,"H"
19.7,6,145,175,3.62,2.77,15.5,0,1,5,6,"H"
15,8,301,335,3.54,3.57,14.6,0,1,5,8,"H"
21.4,4,121,109,4.11,2.78,18.6,1,1,4,2,"H"
